gender,age,stimulus_seeking,hour_of_day,condition,depicted_gender,n_trials,hit_rate
Female,20,3,18,erotic,Female,12,50
Male,20,4.5,12,erotic,Female,12,58.3333333333333
Female,19,2,12,erotic,Female,12,66.6666666666666
Male,22,3,16,erotic,Female,12,58.3333333333333
Female,22,3,16,erotic,Female,12,66.6666666666666
Male,20,3,14,erotic,Female,12,66.6666666666666
Male,19,3,13,erotic,Female,12,50
Female,21,2,16,erotic,Female,12,41.6666666666666
Male,19,2.5,12,erotic,Female,12,58.3333333333333
Female,21,4,12,erotic,Female,12,41.6666666666666
Female,18,2,13,erotic,Female,12,66.6666666666666
Male,22,1.5,13,erotic,Female,12,50
Female,23,2.5,15,erotic,Female,12,58.3333333333333
Female,20,3,17,erotic,Female,12,66.6666666666666
Male,23,1,12,erotic,Female,12,58.3333333333333
Male,20,4,12,erotic,Female,12,66.6666666666666
Female,21,3,14,erotic,Female,12,66.6666666666666
Female,20,3.5,18,erotic,Female,12,41.6666666666666
Male,25,3,12,erotic,Female,12,58.3333333333333
Female,20,2,12,erotic,Female,12,58.3333333333333
Female,20,3,12,erotic,Female,12,66.6666666666666
Female,22,2,12,erotic,Female,12,50
Male,22,3.5,14,erotic,Female,12,58.3333333333333
Female,19,2,10,erotic,Female,12,25
Female,19,2.5,10,erotic,Female,12,41.6666666666666
Female,21,2.5,11,erotic,Female,12,33.3333333333333
Male,21,2.5,15,erotic,Female,12,33.3333333333333
Female,18,2.5,17,erotic,Female,12,33.3333333333333
Male,19,3.5,13,erotic,Female,12,50
Male,20,2.5,18,erotic,Female,12,50
Male,19,3,12,erotic,Female,12,58.3333333333333
Male,20,1,15,erotic,Female,12,58.3333333333333
Male,19,4,18,erotic,Female,12,58.3333333333333
Male,20,2.5,11,erotic,Female,12,50
Male,20,2,15,erotic,Female,12,66.6666666666666
Male,17,2.5,16,erotic,Female,12,33.3333333333333
Male,19,2,12,erotic,Female,12,83.3333333333333
Male,22,3,13,erotic,Female,12,66.6666666666666
Male,22,3,12,erotic,Female,12,66.6666666666666
Male,21,3.5,14,erotic,Female,12,41.6666666666666
Female,18,2.5,10,erotic,Female,12,66.6666666666666
Male,27,2.5,10,erotic,Female,12,55.5555555555555
Female,20,3.5,12,erotic,Female,12,61.1111111111111
Male,21,2,13,erotic,Female,12,61.1111111111111
Female,19,2.5,13,erotic,Female,12,55.5555555555555
Female,18,4,11,erotic,Female,12,55.5555555555555
Female,19,2.5,13,erotic,Female,12,55.5555555555555
Female,19,2.5,15,erotic,Female,12,33.3333333333333
Male,20,3,10,erotic,Female,12,72.2222222222222
Female,19,2,11,erotic,Female,12,44.4444444444444
Female,20,3,12,erotic,Female,12,44.4444444444444
Female,18,1,12,erotic,Female,12,33.3333333333333
Male,22,3,10,erotic,Female,12,61.1111111111111
Female,19,3,10,erotic,Female,12,66.6666666666666
Female,18,2,11,erotic,Female,12,55.5555555555555
Female,19,2.5,10,erotic,Female,12,55.5555555555555
Female,19,3,11,erotic,Female,12,33.3333333333333
Male,19,2,11,erotic,Female,12,50
Male,18,3,12,erotic,Female,12,55.5555555555555
Female,18,2,13,erotic,Female,12,38.8888888888888
Female,21,2.5,10,erotic,Female,12,50
Male,18,2,10,erotic,Female,12,77.7777777777777
Female,19,2.5,11,erotic,Female,12,55.5555555555555
Male,18,2,10,erotic,Female,12,55.5555555555555
Male,18,2.5,11,erotic,Female,12,61.1111111111111
Male,20,2.5,11,erotic,Female,12,50
Male,19,3,11,erotic,Female,12,55.5555555555555
Male,18,2,12,erotic,Female,12,38.8888888888888
Male,20,2.5,12,erotic,X,12,55.5555555555555
Female,19,2,13,erotic,Male,12,27.7777777777777
Female,18,3.5,14,erotic,Male,12,66.6666666666666
Female,18,3,14,erotic,Male,12,72.2222222222222
Male,20,3,11,erotic,Female,12,66.6666666666666
Male,24,3,12,erotic,Female,12,33.3333333333333
Male,18,2.5,12,erotic,Male,12,50
Female,18,4,13,erotic,Male,12,66.6666666666666
Female,21,2.5,14,erotic,Female,12,55.5555555555555
Male,20,2.5,15,erotic,Female,12,44.4444444444444
